REF_AREA,MEASURE,TIME_PERIOD,OBS_VALUE
AUS,N2O,2007,21310.156000000003
AUS,PFC,2007,524.058
AUS,SF,2007,180.504
AUS,CH4,2008,142735.034
AUS,CO2,2008,460170.355
AUS,HFC,2008,5286.317
AUS,N2O,2008,21491.475
AUS,PFC,2008,399.797
AUS,SF,2008,168.339
AUS,CH4,2009,141129.27300000002
AUS,CO2,2009,461119.874
AUS,HFC,2009,6141.546
AUS,N2O,2009,22041.917
AUS,PFC,2009,322.434
AUS,SF,2009,151.506
AUS,CH4,2010,137371.793
AUS,CO2,2010,446668.429
AUS,HFC,2010,6735.332
AUS,N2O,2010,22168.576
AUS,PFC,2010,254.727
AUS,SF,2010,133.794
AUS,CH4,2011,139498.744
AUS,CO2,2011,423745.873
AUS,HFC,2011,7409.829
AUS,N2O,2011,22985.119
AUS,PFC,2011,270.901
AUS,SF,2011,121.783
AUS,CH4,2012,138400.252
AUS,CO2,2012,409527.101
AUS,HFC,2012,7816.419
AUS,N2O,2012,22950.031000000003
AUS,PFC,2012,265.13
AUS,SF,2012,118.511
AUS,CH4,2013,137633.03
AUS,CO2,2013,393380.908
AUS,HFC,2013,8187.259
AUS,N2O,2013,21616.034
AUS,PFC,2013,172.624
AUS,SF,2013,111.491
AUS,CH4,2014,135298.488
AUS,CO2,2014,389471.722
AUS,HFC,2014,8837.372
AUS,N2O,2014,21927.908
AUS,PFC,2014,173.107
AUS,SF,2014,108.876
AUS,CH4,2015,135085.59
AUS,CO2,2015,375219.564
AUS,HFC,2015,9343.463
AUS,N2O,2015,20989.784
AUS,PFC,2015,154.06
AUS,SF,2015,119.739
AUS,CH4,2016,132526.636
AUS,CO2,2016,349339.46
AUS,HFC,2016,9705.243
AUS,N2O,2016,20588.699
AUS,PFC,2016,202.248
AUS,SF,2016,120.721
AUS,CH4,2017,134864.96899999998
AUS,CO2,2017,342637.42000000004
AUS,HFC,2017,9922.294
AUS,N2O,2017,22083.309
AUS,PFC,2017,182.651
AUS,SF,2017,118.899
AUS,CH4,2018,133500.497
AUS,CO2,2018,349825.366
AUS,HFC,2018,9891.612
AUS,N2O,2018,20646.913
AUS,PFC,2018,212.244
AUS,SF,2018,149.725
AUS,CH4,2019,126392.978
AUS,CO2,2019,348366.063
AUS,HFC,2019,10688.48
AUS,N2O,2019,19994.971
AUS,PFC,2019,273.502
AUS,SF,2019,141.064
AUS,CH4,2020,123085.055
AUS,CO2,2020,340318.559
AUS,HFC,2020,10949.192
AUS,N2O,2020,19528.168
AUS,PFC,2020,243.116
AUS,SF,2020,108.871
AUS,CH4,2021,122363.341
AUS,CO2,2021,309393.85900000005
AUS,HFC,2021,11405.411
AUS,N2O,2021,21154.212
AUS,PFC,2021,291.483
AUS,SF,2021,162.361
AUT,CH4,1990,11346.009
AUT,CO2,1990,49819.764
AUT,HFC,1990,2.042
AUT,N2O,1990,4123.994
AUT,PFC,1990,1062.935
AUT,SF,1990,485.057
AUT,CH4,1991,11226.7
AUT,CO2,1991,46421.777
AUT,HFC,1991,3.259
AUT,N2O,1991,4153.875
AUT,PFC,1991,1071.836
AUT,SF,1991,632.996
AUT,CH4,1992,10920.483
AUT,CO2,1992,50596.325
AUT,HFC,1992,4.719
AUT,N2O,1992,3963.452
AUT,PFC,1992,458.903
AUT,SF,1992,676.42
AUT,CH4,1993,10963.966
AUT,CO2,1993,43478.83499999999
AUT,HFC,1993,214.874
AUT,N2O,1993,3973.806
AUT,PFC,1993,57.322
AUT,SF,1993,766.845
AUT,CH4,1994,10632.191
AUT,CO2,1994,51245.083
AUT,HFC,1994,236.91
AUT,N2O,1994,3921.414
AUT,PFC,1994,64.075
AUT,SF,1994,954.609
AUT,CH4,1995,10540.517
AUT,CO2,1995,44123.998
AUT,HFC,1995,324.028
AUT,N2O,1995,3978.643
AUT,PFC,1995,75.275
AUT,SF,1995,1133.883
AUT,CH4,1996,10195.322
AUT,CO2,1996,48385.81199999999
AUT,HFC,1996,390.648
AUT,N2O,1996,3992.334
AUT,PFC,1996,72.473
AUT,SF,1996,1213.033
AUT,CH4,1997,9864.747
AUT,CO2,1997,44461.838
AUT,HFC,1997,473.117
AUT,N2O,1997,4000.762
AUT,PFC,1997,106.082
AUT,SF,1997,1119.751
AUT,CH4,1998,9676.842
AUT,CO2,1998,47522.792
AUT,HFC,1998,564.813
AUT,N2O,1998,4038.63
AUT,PFC,1998,50.27
AUT,SF,1998,896.589
AUT,CH4,1999,9478.673
AUT,CO2,1999,45052.235
AUT,HFC,1999,656.281
AUT,N2O,1999,4015.346
AUT,PFC,1999,71.591
AUT,SF,1999,697.134
